codeno,location,concat_date_time_in,concat_date_time_out,time_diff,day,total_space,color_value
3,"(6.976094, 79.925311)",1/25/2021 5:35,1/25/2021 5:52,17,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:35,1/25/2021 5:36,1,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:35,1/25/2021 6:17,42,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:36,1/25/2021 5:41,5,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:36,1/25/2021 5:46,10,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:37,1/25/2021 6:31,54,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:37,1/25/2021 5:57,20,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:37,1/25/2021 5:57,20,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:39,1/25/2021 5:47,8,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:40,1/25/2021 6:01,21,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:40,1/25/2021 5:43,3,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:40,1/25/2021 6:06,26,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:43,1/25/2021 5:55,12,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:43,1/25/2021 5:49,6,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:44,1/25/2021 5:56,12,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:44,1/25/2021 5:59,15,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:46,1/25/2021 6:16,30,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:46,1/25/2021 6:16,30,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:47,1/25/2021 6:02,15,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:48,1/25/2021 6:54,66,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:48,1/25/2021 6:03,15,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:49,1/25/2021 5:55,6,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:51,1/25/2021 6:07,16,W,55,895603
